Question,Answer,Topic,Keywords,Style
I'm worried I might be pregnant because I missed my period. What should I do?,"Taking a pregnancy test is the best way to check. Drugstore tests are affordable and readily available. If the test is positive, consult a doctor for prenatal care.",Irregular Periods,"pregnancy test, missed period",canonical
I have missed my expected menstrual period and am concerned about a possible pregnancy. What steps should I take?,"Taking a pregnancy test is the best way to check. Drugstore tests are affordable and readily available. If the test is positive, consult a doctor for prenatal care.",Irregular Periods,"pregnancy test, missed period",clinical
My period hasn't shown up and I think I might be pregnant. What should I do?,"Taking a pregnancy test is the best way to check. Drugstore tests are affordable and readily available. If the test is positive, consult a doctor for prenatal care.",Irregular Periods,"pregnancy test, missed period",layperson
"My monthly hasn't come this time, and I'm worried there might be a reason for that. What should I do?","Taking a pregnancy test is the best way to check. Drugstore tests are affordable and readily available. If the test is positive, consult a doctor for prenatal care.",Irregular Periods,"pregnancy test, missed period",indirect_cultural
My period is late and I'm not sure what that means. What should I do?,"Taking a pregnancy test is the best way to check. Drugstore tests are affordable and readily available. If the test is positive, consult a doctor for prenatal care.",Irregular Periods,"pregnancy test, missed period",ambiguous
"I'm really scared, my period is late and I keep thinking I might be pregnant. I don't know what to do.","Taking a pregnancy test is the best way to check. Drugstore tests are affordable and readily available. If the test is positive, consult a doctor for prenatal care.",Irregular Periods,"pregnancy test, missed period",emotionally_concerned
What is the usual duration of menstrual bleeding for adolescents who have just started menstruating?,"Menstrual bleeding for adolescents who have just started menstruating may last longer, typically around 5 to 7 days.",Menarche,"Menstrual bleeding, Adolescents, Duration, 5-7 days",canonical
What is the typical duration of menstrual bleeding in adolescents at menarche?,"Menstrual bleeding for adolescents who have just started menstruating may last longer, typically around 5 to 7 days.",Menarche,"Menstrual bleeding, Adolescents, Duration, 5-7 days",clinical
How many days does a period usually last for girls who just started their periods?,"Menstrual bleeding for adolescents who have just started menstruating may last longer, typically around 5 to 7 days.",Menarche,"Menstrual bleeding, Adolescents, Duration, 5-7 days",layperson
"For a young girl who has just become a woman, how many days does her monthly usually last?","Menstrual bleeding for adolescents who have just started menstruating may last longer, typically around 5 to 7 days.",Menarche,"Menstrual bleeding, Adolescents, Duration, 5-7 days",indirect_cultural
How long does this whole thing usually go on for when it first starts?,"Menstrual bleeding for adolescents who have just started menstruating may last longer, typically around 5 to 7 days.",Menarche,"Menstrual bleeding, Adolescents, Duration, 5-7 days",ambiguous
"My daughter just got her first period and it's been going on for days, is that normal? I'm getting worried.","Menstrual bleeding for adolescents who have just started menstruating may last longer, typically around 5 to 7 days.",Menarche,"Menstrual bleeding, Adolescents, Duration, 5-7 days",emotionally_concerned
What does menopause mean and when does it usually happen for women?,"Menopause is a time in a woman's life when her periods stop, and she can't have children anymore. This usually happens when a woman is between 45 and 55 years old. In simple terms, it means her body is going through a change where she no longer releases eggs from her ovaries each month.",Menopause,"menopause, monthly periods",canonical
"What is the clinical definition of menopause, and at what age does it typically occur in women?","Menopause is a time in a woman's life when her periods stop, and she can't have children anymore. This usually happens when a woman is between 45 and 55 years old. In simple terms, it means her body is going through a change where she no longer releases eggs from her ovaries each month.",Menopause,"menopause, monthly periods",clinical
What exactly is menopause and when does it usually start?,"Menopause is a time in a woman's life when her periods stop, and she can't have children anymore. This usually happens when a woman is between 45 and 55 years old. In simple terms, it means her body is going through a change where she no longer releases eggs from her ovaries each month.",Menopause,"menopause, monthly periods",layperson
