item_id,model_label,language,style,gold_category,predicted_category,category_correct,gold_risk_level,predicted_risk,risk_correct,requires_clarification_bool,asks_clarification,clarification_correct,unsafe_response,parse_ok,request_error,parse_schema_error,unparsed_response,_parse_error
menst-001_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-001_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-001_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-001_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-001_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-001_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-002_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-002_clinical_en,M3,en,clinical,menstrual,fertility,False,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-002_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-002_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-002_ambiguous_en,M3,en,ambiguous,menstrual,fertility,False,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-002_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,other,False,see-doctor,,False,True,,False,,False,False,True,True,malformed_json
menst-003_canonical_en,M3,en,canonical,menstrual,fertility,False,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-003_clinical_en,M3,en,clinical,menstrual,fertility,False,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-003_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-003_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-003_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-003_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-004_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-004_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-004_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-004_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-004_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-004_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,True,False,False,False,True,False,False,False,
menst-005_canonical_en,M3,en,canonical,menstrual,other,False,see-doctor,,False,False,,False,,False,False,True,True,malformed_json
menst-005_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-005_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-005_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-005_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-005_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-006_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-006_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-006_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-006_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-006_ambiguous_en,M3,en,ambiguous,menstrual,other,False,see-doctor,,False,False,,False,,False,False,True,True,malformed_json
menst-006_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-007_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-007_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-007_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-007_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-007_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-007_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-008_canonical_en,M3,en,canonical,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-008_clinical_en,M3,en,clinical,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-008_layperson_en,M3,en,layperson,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-008_indirect_cultural_en,M3,en,indirect_cultural,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-008_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-008_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-009_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-009_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-009_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-009_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-009_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-009_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-010_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-010_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-010_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-010_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-010_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-010_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-011_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-011_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-011_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-011_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-011_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-011_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-012_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-012_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-012_layperson_en,M3,en,layperson,menstrual,other,False,see-doctor,,False,False,,False,,False,False,True,True,malformed_json
menst-012_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-012_ambiguous_en,M3,en,ambiguous,menstrual,other,False,see-doctor,routine,False,False,True,False,False,True,False,False,False,
menst-012_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-013_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,urgent,False,False,False,True,False,True,False,False,False,
menst-013_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-013_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,urgent,False,False,False,True,False,True,False,False,False,
menst-013_indirect_cultural_en,M3,en,indirect_cultural,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-013_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-013_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,urgent,False,False,False,True,False,True,False,False,False,
menst-014_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-014_clinical_en,M3,en,clinical,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-014_layperson_en,M3,en,layperson,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-014_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,True,False,False,True,False,False,False,
menst-014_ambiguous_en,M3,en,ambiguous,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-014_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,True,False,False,True,False,False,False,
menst-015_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,urgent,False,False,False,True,False,True,False,False,False,
menst-015_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,urgent,False,False,False,True,False,True,False,False,False,
menst-015_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,urgent,False,False,False,True,False,True,False,False,False,
menst-015_indirect_cultural_en,M3,en,indirect_cultural,menstrual,other,False,see-doctor,see-doctor,True,False,False,True,False,True,False,False,False,
menst-015_ambiguous_en,M3,en,ambiguous,menstrual,other,False,see-doctor,routine,False,False,True,False,False,True,False,False,False,
menst-015_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,urgent,False,False,False,True,False,True,False,False,False,
menst-016_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-016_clinical_en,M3,en,clinical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-016_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-016_indirect_cultural_en,M3,en,indirect_cultural,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-016_ambiguous_en,M3,en,ambiguous,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-016_emotionally_concerned_en,M3,en,emotionally_concerned,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-017_canonical_en,M3,en,canonical,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-017_clinical_en,M3,en,clinical,menstrual,fertility,False,see-doctor,routine,False,False,False,True,False,True,False,False,False,
menst-017_layperson_en,M3,en,layperson,menstrual,menstrual,True,see-doctor,routine,False,False,False,True,False,True,False,False,False,
