Question,Answer,Topic,Keywords,Style
"What is the scientific term for ""chumps"" or ""periods""?","The scientific term for ""chumps"" or ""periods"" is menstruation.",Menstruation,"Menstruation, Terminology",canonical
"Patient presents with the following concern: What is the scientific term for ""chumps"" or ""periods""?","The scientific term for ""chumps"" or ""periods"" is menstruation.",Menstruation,"Menstruation, Terminology",clinical
"So here's my question: What is the scientific term for ""chumps"" or ""periods""?","The scientific term for ""chumps"" or ""periods"" is menstruation.",Menstruation,"Menstruation, Terminology",layperson
"I'm not really comfortable talking about this kind of thing, but I have to ask. What is the scientific term for ""chumps"" or ""periods""?","The scientific term for ""chumps"" or ""periods"" is menstruation.",Menstruation,"Menstruation, Terminology",indirect_cultural
"What is the scientific term for ""chumps"" or ""periods""? I'm not really sure how to explain it exactly.","The scientific term for ""chumps"" or ""periods"" is menstruation.",Menstruation,"Menstruation, Terminology",ambiguous
"I'm really worried about this and can't stop thinking about it. What is the scientific term for ""chumps"" or ""periods""?","The scientific term for ""chumps"" or ""periods"" is menstruation.",Menstruation,"Menstruation, Terminology",emotionally_concerned
"What is menstruation, and why does it happen?","Menstruation, also called your period, is the monthly bleeding from the vagina. It's a natural part of your body getting ready for a possible pregnancy. If you don't get pregnant, the lining of your uterus sheds and comes out as blood.",Menstruation,"menstruation, period",canonical
"Patient presents with the following concern: What is menstruation, and why does it happen?","Menstruation, also called your period, is the monthly bleeding from the vagina. It's a natural part of your body getting ready for a possible pregnancy. If you don't get pregnant, the lining of your uterus sheds and comes out as blood.",Menstruation,"menstruation, period",clinical
"Just wanted to ask something: What is menstruation, and why does it happen?","Menstruation, also called your period, is the monthly bleeding from the vagina. It's a natural part of your body getting ready for a possible pregnancy. If you don't get pregnant, the lining of your uterus sheds and comes out as blood.",Menstruation,"menstruation, period",layperson
"This is a bit awkward for me to bring up, but here goes. What is menstruation, and why does it happen?","Menstruation, also called your period, is the monthly bleeding from the vagina. It's a natural part of your body getting ready for a possible pregnancy. If you don't get pregnant, the lining of your uterus sheds and comes out as blood.",Menstruation,"menstruation, period",indirect_cultural
"What is something, and why does it happen? I'm not really sure how to explain it exactly.","Menstruation, also called your period, is the monthly bleeding from the vagina. It's a natural part of your body getting ready for a possible pregnancy. If you don't get pregnant, the lining of your uterus sheds and comes out as blood.",Menstruation,"menstruation, period",ambiguous
"This is scaring me a lot and I need to know what's going on. What is menstruation, and why does it happen?","Menstruation, also called your period, is the monthly bleeding from the vagina. It's a natural part of your body getting ready for a possible pregnancy. If you don't get pregnant, the lining of your uterus sheds and comes out as blood.",Menstruation,"menstruation, period",emotionally_concerned
How can I care for myself during my period?,"Continue regular activities, including swimming with the right products.
Use a hot water bottle or pain-relief medication for pain.
Keep a 'period kit' for unexpected starts.",Menstruation,"self-care, pain relief, period kit",canonical
Patient presents with the following concern: How can I care for myself during my period?,"Continue regular activities, including swimming with the right products.
Use a hot water bottle or pain-relief medication for pain.
Keep a 'period kit' for unexpected starts.",Menstruation,"self-care, pain relief, period kit",clinical
