Question,Answer,Topic,Keywords
"I am on metformin 1000mg bid for pcos & was prescribed Percocet 10/650 for a severely displaced fracture needing surgery. I drink a glass of red wine nightly for heart heglth Bhc cardiac disease runs in my family... Should I be concerned a our elastase liver function test? I am also on Zoloft 150 daily, adderall 30mg bid & clonazepam as needed who I take a few night a a week","Hi, dairy have gone through your question. I can understand your concern. You taken percent, clonazepam, Zoloft, Adderall so in my opinion you should avoid alcohol. It will damage the liver and will put you in trouble. You should check your liver enzymes levels once and also go for ultrasound abdomen once to rule out any alcoholic liver disease. Hope I have answered your question. If you have any doubts then feel free to ask me. I will be happy to answer. Wish you a very good health.",PCOS,"pcos, metformin"
pcod irregular periods 37x31mm cyst in LT ovary on11july its my first day. 7x7mm inRTovary and 11x12mm inLT ovary on22 july 12day. 11x12mm inRTovary and 8x9mm inLT ovary on27july 17day. 1 what does this mean? 2 IS ovulation happen this time? 3 slow and late growth of follicle as in my case .ISany chance of getting preganant? 4 what to do now? 5 plssssssssssss answer soon,"Hi hi Joshi., the above report stating the measurement of the largest cyst is 37by31 in left ovary... .the other follicles are of different sizes respect to the duration. Even though many follicles develop, only one may ovulate or many at a time hence fertilization will be disturbed... you can have coitus with your husband.... and then after a week you need to follow up by USG. Hope I have answered your question. Take care.",PCOS,"pcod, irregular periods"
"I m a type 2 diabetic. My doctor changed my meds to three pills 5 months ago, Metformin gave extreme gastro side effects. So I have been taking Januvia, Glimeperide and Glipezide. It kept my blood sugar much lower but not perfect. I had 3 episodes of symptoms of low blood sugar but I never got a reading lower than 80. Now my pharmacists has questioned the 3 medication so, as of 3 weeks ago I no longer take Glimeperide. Now I m having mild pressure in my abdomen and sternem, shallow breathing and muscle tension for no reason. Any thoughts?","Hi sir. Usually diabetic medicines with metformin may cause abdominal problems like gastritis, ulcer.make sure that your sugar level is under control especially HE a1c is under control. Pain in lower abdomen and sternum is exactly due to gastritis so it's better to take anti ulcer medicines to solve this problem avoid taking oily and spicy foods avoid taking tea coffee or milk avoid some vegetables like radish cabbage and cauliflower so that it may help to reduce gastritis. Consult a physician for medications, thank you.",PCOS,metformin
"i am taking glycomate sr igram at night before meal. my fasting sugar was 150-160 range before medication and PP was 170-180. i have strict diet control. after taking medicine for one & 1/2 months now i am feeling sleepy which i do not had earlier. presently my Fastinf sugar is 129-141 anf PP is 140-150. si do Yoga for i/2 hrs, walking for 20 minutes and Gym foe 15 minutes daily. Should i stop medicine.D .mitra age 55 ,male,kolkata india","Hi Mr. Mira, As you have not mentioned the duration of your Diabetes specifically, let by your narration my interpretation is you have recently detected Diabetes diabetes approximately one and half month back. You have started on Glycogen Sr 1 gm before dinner, along with you are doing yoga, gym, walk regularly diet control. With all these efforts your blood sugar levels are fairly controlled. I would like to advise_1. Strictly follow Diabetic diet regularly. 2. Continue yoga, gym, walk regularly. 3. Continue Tab Glycogen Sr 1gm after dinner. In fact, you can increase the dose up to 1.5 gm and over another 15 days to 2 gm total per day in divided doses preferred to take after meals. (effective dose is approximately 1.75 gm per day) As this medicine rarely decreases blood sugar levels below normal level (rarely causes hypoglycemia) This medicine act on basic pathology of diabetes called insulin resistance. As Diabetes is lifelong disease, as duration of diabetes increases there may need of additional medicines. 4. You have not mentioned your height and weight so that you should target weight loss according to your height. 5. Certain blood test are important like lipid profile, serum creatinine, HbA1C which denote blood sugar level over period of approximately 120\u00a0days. Urinary protein creatinine ratio, Endoscopy to rule out diabetic retinopathy. 6. You should also start medicine for lowering lipids despite your lipid level, if it is in normal range start in basic dose and if in higher doses according to lipid level. 7. Also, regular BP checking",PCOS,insulin resistance
"Hello Chetna, I am Megha (age 28yrs). I had miscarriage thrice earlier within 1-1.5months of preg. This time, I have been lucky and I am 11weeks pregnant now. My Doc has asked me to use corion 5000 from past 1.5 months and for another 2 weeks(once in 4 days) Also Sugest 200mg, thrice a day, and Glycomet 500SR once a day. Now recently doc asked me to use Duvadilan Retard 40mg as well (twice a day) I had 2 Ultra Scans till now and it was normal. Now the next scan is on 1st feb, based on the results my Doc would provide the medication. My query is","Hello Ms. Mega, All these medications have been used during pregnancy with no reported untoward effects. In view of your past obstetric history, your doctor has prescribed chorionic gonadotropin injections to help sustain the pregnancy until the placenta takes over the function of hormone production. This is why progesterone supplementation also is being used. Metformin is prescribed when insulin resistance is seen as in POD to prevent abortions and gestational diabetes. Nevadian is a uterine muscle relaxant. Please do not worry, you are on the right track. Take care.",PCOS,"insulin resistance, metformin"
"hi mam, im 23 years old got married 3 months. I wanna to get pregnant faster im getting my periods regularly now but minimum flow and getting spotting 15 days back is this an ovulation time? I got pcod 1 year back i took crimson tablets is there any problem to conceive? Pls reply me thank u.","Hello dear, i understand your concern. In my opinion there might not be any problem in conceiving if your cycles are regular. The cause for minimal flow like thyroid abnormalities should be ruled out.Also, as you have a history of POD previously an ultrasound might be needed to check for the POD status. First and most important is avoided stress and anxiety related to pregnancy because they cause hormonal imbalance and delay the conception further. If ultrasound and thyroid profile are normal then nothing to worry. Practice regular intercourse to increase the conception chances. Best regards..",PCOS,"pcod, hormonal imbalance"
I have unregularly period because I have PCOS I had took birth control for 12 months but when I had stopped taking them my period was regular for just three months my 4th one is late now.. I was wondering if I should take something else now ? and if the total fertility supplement PCOS will help in my case ? I will appreciate your kind answer Im really tired because of this ...thank you,"Hi. Treatment for PCs begins with weight loss and metformin, if either or both are indicated, and then is individualized depending on the patients reproductive needs",PCOS,"pcos, metformin"
"dear doc, me & my(28years) wife had sex on December 24, 25, 26(protected).she had her period on January 16-22, a heavy one like regular(no sex in between as we work in different countries) . now in February, she is 13 days late. should we worry about her being pregnant or other health issues? we re not trying for a baby so early in our career.thanks in advance.","Hello, Thanks for letting us know your health concern. If you did not have any further intercourse after your wife had her natural period, there is no need to worry about pregnancy. This delay in menstrual cycle could be due to a transient hormone imbalance often caused by sudden weight changes, stress, infections etc. Please ask her to see her health care provider to detect the cause and plan further management. If the sonogram of the pelvis shows normal study, hormones can be given to induce the period. Hope this helps.",PCOS,pcos
I am 36 yrs and pregnant with 12weeks I have a daughter 11 yrs I have a history of pcod and endometriosis I had a miscarriage in my first pregnancy and it was triplets. both my pregnancy was with treatment but this time with the grace of God I conceived naturally I am being given fertygen injection twice a week progestrone capsule and now asa tablets but yesterday I was bleeding with big clots after scan the baby was fine internal os closed placenta posterior mid segment dont know the reason for bleeding can you please tell me why is this happening and why is asa tablets prescribed in pregnancy I would be very grateful thank you,Hello and Early pregnancy may naturally have periods of episodic vaginal bleeding with clots. This is caused as the baby with the sac in early pregnancy is too small to fill up whole of the uterus. The exposed inner lining of uterus may degenerate and bleed just like a normal menstrual cycle. I am assuming that your ultrasonography after the gush of bleeding showed a live baby with evidence of fetal heart beat. In that case chance of abortion is minimal. ASA or aspirin tablets are given in pregnancy to help in free flow of blood between mother and fetus. Please write back if you have any more queries.,PCOS,pcod
"I take microgynon 30 3 weeks at a time and then break for a week and always get a period during this break. I took the pill for around 5 weeks without a break and now that Ive taken a break from it Ive not experienced a withdrawal bleed and Im getting very worried. Could you offer me an explanation? Ive taken one test and it was negative. Just want to know whats going on with my body, Ive been taking the pill almost 3 years with no problems like this.","HI, Microgynon is a commonly used oral contraceptive. There is a form of oral contraception where essentially it is taken for 3 months so that these women have only 4 periods a year. It is likely that the prolonged use of the medication resulted in the delay you are experiencing. Though it is understandably alarming to you, it is a result of a slight hormonal imbalance and your period will return. I hope this helps",PCOS,hormonal imbalance
