item_id,seed_id,category,style,source_text_en,gold_condition,ar_text,ar_translator_id,ar_reviewer_id,ar_validation_status,ar_notes
menst-001_canonical,menst-001,menstrual,canonical,How long will I have irregular periods after a miscarriage?,NEEDS_GROUNDING,,,,pending,
menst-001_clinical,menst-001,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-001_layperson,menst-001,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-001_indirect_cultural,menst-001,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-001_ambiguous,menst-001,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-001_emotionally_concerned,menst-001,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-002_canonical,menst-002,menstrual,canonical,Do irregular periods influence the ability to get pregnant?,NEEDS_GROUNDING,,,,pending,
menst-002_clinical,menst-002,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-002_layperson,menst-002,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-002_indirect_cultural,menst-002,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-002_ambiguous,menst-002,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-002_emotionally_concerned,menst-002,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-003_canonical,menst-003,menstrual,canonical,Does period pain affect fertility?,NEEDS_GROUNDING,,,,pending,
menst-003_clinical,menst-003,menstrual,clinical,I have period pain and fertility.,NEEDS_GROUNDING,,,,pending,
menst-003_layperson,menst-003,menstrual,layperson,My period pain / cramps (period pain and fertility) have been hard to deal with.,NEEDS_GROUNDING,,,,pending,
menst-003_indirect_cultural,menst-003,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding period pain and fertility.,NEEDS_GROUNDING,,,,pending,
menst-003_ambiguous,menst-003,menstrual,ambiguous,Something feels wrong with my cycle / hormones (period pain and fertility).,NEEDS_GROUNDING,,,,pending,
menst-003_emotionally_concerned,menst-003,menstrual,emotionally_concerned,I am really worried and scared about period pain and fertility. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-004_canonical,menst-004,menstrual,canonical,What causes irregular periods?,NEEDS_GROUNDING,,,,pending,
menst-004_clinical,menst-004,menstrual,clinical,I have irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-004_layperson,menst-004,menstrual,layperson,My period is not coming properly — this is about irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-004_indirect_cultural,menst-004,menstrual,indirect_cultural,My monthly / womanly problem has become unusual regarding irregular periods.,NEEDS_GROUNDING,,,,pending,
menst-004_ambiguous,menst-004,menstrual,ambiguous,Something feels wrong with my cycle / hormones (irregular periods).,NEEDS_GROUNDING,,,,pending,
menst-004_emotionally_concerned,menst-004,menstrual,emotionally_concerned,I am really worried and scared about irregular periods. Please help me understand what this means.,NEEDS_GROUNDING,,,,pending,
menst-005_canonical,menst-005,menstrual,canonical,I want to try out different supplements to reduce my PMS symptoms but I am not sure if I should take them without consulting my doctor. What is the importance of talking to a doctor before taking supplements for PMS?,NEEDS_GROUNDING,,,,pending,
