item_id,seed_id,category,style,source_text_en,gold_condition,fr_text,fr_agency_translator_id,fr_agency_qa_id,fr_house_reviewer_id,fr_house_validation_status,fr_notes
menst-001_canonical,menst-001,menstrual,canonical,How long will I have irregular periods after a miscarriage?,NEEDS_GROUNDING,,,,,pending,
menst-001_clinical,menst-001,menstrual,clinical,Patient reports irregular menstrual cycles following a recent miscarriage; requesting expected duration of irregularity.,NEEDS_GROUNDING,,,,,pending,
menst-001_layperson,menst-001,menstrual,layperson,How long after a miscarriage will my periods stay irregular?,NEEDS_GROUNDING,,,,,pending,
menst-001_indirect_cultural,menst-001,menstrual,indirect_cultural,"After I lost the pregnancy, my monthly cycle hasn't gone back to normal — how long does that usually take?",NEEDS_GROUNDING,,,,,pending,
menst-001_ambiguous,menst-001,menstrual,ambiguous,My cycle's been off since something happened a while back — when should it go back to normal?,NEEDS_GROUNDING,,,,,pending,
menst-001_emotionally_concerned,menst-001,menstrual,emotionally_concerned,I'm really worried — it's been a while since my miscarriage and my periods are still all over the place. How much longer will this last?,NEEDS_GROUNDING,,,,,pending,
menst-002_canonical,menst-002,menstrual,canonical,Do irregular periods influence the ability to get pregnant?,NEEDS_GROUNDING,,,,,pending,
menst-002_clinical,menst-002,menstrual,clinical,Patient inquires whether menstrual cycle irregularity affects fertility/conception ability.,NEEDS_GROUNDING,,,,,pending,
menst-002_layperson,menst-002,menstrual,layperson,Can having irregular periods make it harder to get pregnant?,NEEDS_GROUNDING,,,,,pending,
menst-002_indirect_cultural,menst-002,menstrual,indirect_cultural,My cycle isn't regular — could that affect my chances of starting a family?,NEEDS_GROUNDING,,,,,pending,
menst-002_ambiguous,menst-002,menstrual,ambiguous,"Does my cycle being off mess with anything else, like trying for a baby?",NEEDS_GROUNDING,,,,,pending,
menst-002_emotionally_concerned,menst-002,menstrual,emotionally_concerned,I'm scared my irregular periods might mean I can't get pregnant — is that something I should worry about?,NEEDS_GROUNDING,,,,,pending,
menst-003_canonical,menst-003,menstrual,canonical,Does period pain affect fertility?,NEEDS_GROUNDING,,,,,pending,
menst-003_clinical,menst-003,menstrual,clinical,Patient asks whether dysmenorrhea (menstrual pain) has any impact on fertility.,NEEDS_GROUNDING,,,,,pending,
menst-003_layperson,menst-003,menstrual,layperson,Can bad period cramps affect whether I can have kids?,NEEDS_GROUNDING,,,,,pending,
menst-003_indirect_cultural,menst-003,menstrual,indirect_cultural,The pain I get every month during my cycle — could that be connected to having children later?,NEEDS_GROUNDING,,,,,pending,
menst-003_ambiguous,menst-003,menstrual,ambiguous,Does the pain I get sometimes mean something about my body down the line?,NEEDS_GROUNDING,,,,,pending,
menst-003_emotionally_concerned,menst-003,menstrual,emotionally_concerned,I get really bad period pain and I'm terrified it might be hurting my chances of having children — is that possible?,NEEDS_GROUNDING,,,,,pending,
menst-004_canonical,menst-004,menstrual,canonical,What causes irregular periods?,NEEDS_GROUNDING,,,,,pending,
menst-004_clinical,menst-004,menstrual,clinical,Patient requests information on the etiology of menstrual cycle irregularity.,NEEDS_GROUNDING,,,,,pending,
menst-004_layperson,menst-004,menstrual,layperson,What makes periods become irregular in the first place?,NEEDS_GROUNDING,,,,,pending,
menst-004_indirect_cultural,menst-004,menstrual,indirect_cultural,Why does a woman's monthly cycle sometimes stop being predictable?,NEEDS_GROUNDING,,,,,pending,
menst-004_ambiguous,menst-004,menstrual,ambiguous,Why would something like that happen with a cycle?,NEEDS_GROUNDING,,,,,pending,
menst-004_emotionally_concerned,menst-004,menstrual,emotionally_concerned,My periods have gotten so unpredictable and it's stressing me out — what could be causing that?,NEEDS_GROUNDING,,,,,pending,
menst-005_canonical,menst-005,menstrual,canonical,I want to try out different supplements to reduce my PMS symptoms but I am not sure if I should take them without consulting my doctor. What is the importance of talking to a doctor before taking supplements for PMS?,NEEDS_GROUNDING,,,,,pending,
menst-005_clinical,menst-005,menstrual,clinical,Patient wishes to initiate supplement use for premenstrual syndrome symptom management and requests clinical rationale for physician consultation prior to starting.,NEEDS_GROUNDING,,,,,pending,
menst-005_layperson,menst-005,menstrual,layperson,"I want to try some supplements for my PMS symptoms, but I'm not sure if I should just start taking them on my own. Why is it important to check with a doctor first?",NEEDS_GROUNDING,,,,,pending,
menst-005_indirect_cultural,menst-005,menstrual,indirect_cultural,There are these natural remedies people talk about for that time-of-the-month discomfort — should I really ask a doctor before trying them myself?,NEEDS_GROUNDING,,,,,pending,
menst-005_ambiguous,menst-005,menstrual,ambiguous,I'm thinking about trying something over-the-counter for how I feel before my period — is that something I need to ask about first?,NEEDS_GROUNDING,,,,,pending,
menst-005_emotionally_concerned,menst-005,menstrual,emotionally_concerned,"I really want relief from my PMS and I'm eyeing some supplements, but I'm nervous about just taking them without a doctor's OK — is that something I should be worried about?",NEEDS_GROUNDING,,,,,pending,
menst-006_canonical,menst-006,menstrual,canonical,I am an athlete and I have been under a lot of stress due to my training schedule. I have not received my periods since the past 3 months. Is stress the reason behind temporary amenorrhea?,NEEDS_GROUNDING,,,,,pending,
menst-006_clinical,menst-006,menstrual,clinical,Patient is a competitive athlete reporting 3 months of secondary amenorrhea in the context of high training-related stress; requests clarification on stress as an etiology for temporary amenorrhea.,NEEDS_GROUNDING,,,,,pending,
menst-006_layperson,menst-006,menstrual,layperson,I'm an athlete and my training schedule has been really stressful lately. I haven't had my period in 3 months. Could stress be the reason my periods stopped temporarily?,NEEDS_GROUNDING,,,,,pending,
menst-006_indirect_cultural,menst-006,menstrual,indirect_cultural,"With all the pressure from my training, my monthly cycle just stopped coming for three months now — could the stress be behind that?",NEEDS_GROUNDING,,,,,pending,
menst-006_ambiguous,menst-006,menstrual,ambiguous,I've been under a lot of pressure lately and something with my cycle has changed for a few months — could that be connected?,NEEDS_GROUNDING,,,,,pending,
menst-006_emotionally_concerned,menst-006,menstrual,emotionally_concerned,"I'm an athlete under so much stress from training and my period hasn't come in 3 months — I'm really worried, could the stress be causing this?",NEEDS_GROUNDING,,,,,pending,
menst-007_canonical,menst-007,menstrual,canonical,I have irregular periods and I have to travel to the city to discuss it with a doctor. What kinds of tests can the doctor do to find out the reason for my abnormal periods?,NEEDS_GROUNDING,,,,,pending,
menst-007_clinical,menst-007,menstrual,clinical,"Patient with irregular menses, planning to travel to seek in-person evaluation, inquires about diagnostic workup options for abnormal menstrual cycles.",NEEDS_GROUNDING,,,,,pending,
menst-007_layperson,menst-007,menstrual,layperson,I have irregular periods and I'm going to travel into the city to see a doctor about it. What kinds of tests might they run to figure out why my periods are abnormal?,NEEDS_GROUNDING,,,,,pending,
