item_id,seed_id,category,style,source_text_en,gold_condition,fr_text,fr_agency_translator_id,fr_agency_qa_id,fr_house_reviewer_id,fr_house_validation_status,fr_notes
menst-001_canonical,menst-001,menstrual,canonical,How long will I have irregular periods after a miscarriage?,NEEDS_GROUNDING,Combien de temps mes règles resteront-elles irrégulières après une fausse couche ?,,,,pending,
menst-001_clinical,menst-001,menstrual,clinical,Patient reports irregular menstrual cycles following a recent miscarriage; requesting expected duration of irregularity.,NEEDS_GROUNDING,La patiente signale des cycles menstruels irréguliers à la suite d’une fausse couche récente et souhaite connaître la durée prévisible de cette irrégularité.,,,,pending,
menst-001_layperson,menst-001,menstrual,layperson,How long after a miscarriage will my periods stay irregular?,NEEDS_GROUNDING,Pendant combien de temps mes règles resteront-elles irrégulières après une fausse couche ?,,,,pending,
menst-001_indirect_cultural,menst-001,menstrual,indirect_cultural,"After I lost the pregnancy, my monthly cycle hasn't gone back to normal — how long does that usually take?",NEEDS_GROUNDING,"Depuis que j’ai perdu ma grossesse, mon cycle mensuel n’est pas redevenu normal — combien de temps cela prend-il habituellement ?",,,,pending,
menst-001_ambiguous,menst-001,menstrual,ambiguous,My cycle's been off since something happened a while back — when should it go back to normal?,NEEDS_GROUNDING,Mon cycle est déréglé depuis qu’il s’est passé quelque chose il y a quelque temps — quand devrait-il redevenir normal ?,,,,pending,
menst-001_emotionally_concerned,menst-001,menstrual,emotionally_concerned,I'm really worried — it's been a while since my miscarriage and my periods are still all over the place. How much longer will this last?,NEEDS_GROUNDING,Je suis vraiment inquiète — cela fait un moment depuis ma fausse couche et mes règles sont toujours complètement irrégulières. Combien de temps cela va-t-il encore durer ?,,,,pending,
menst-002_canonical,menst-002,menstrual,canonical,Do irregular periods influence the ability to get pregnant?,NEEDS_GROUNDING,Les règles irrégulières influencent-elles la capacité à tomber enceinte ?,,,,pending,
menst-002_clinical,menst-002,menstrual,clinical,Patient inquires whether menstrual cycle irregularity affects fertility/conception ability.,NEEDS_GROUNDING,La patiente demande si l’irrégularité du cycle menstruel affecte la fertilité ou la capacité à concevoir.,,,,pending,
menst-002_layperson,menst-002,menstrual,layperson,Can having irregular periods make it harder to get pregnant?,NEEDS_GROUNDING,Le fait d’avoir des règles irrégulières peut-il rendre plus difficile le fait de tomber enceinte ?,,,,pending,
menst-002_indirect_cultural,menst-002,menstrual,indirect_cultural,My cycle isn't regular — could that affect my chances of starting a family?,NEEDS_GROUNDING,Mon cycle n’est pas régulier — cela pourrait-il réduire mes chances de fonder une famille ?,,,,pending,
menst-002_ambiguous,menst-002,menstrual,ambiguous,"Does my cycle being off mess with anything else, like trying for a baby?",NEEDS_GROUNDING,"Le fait que mon cycle soit déréglé peut-il avoir des conséquences sur autre chose, par exemple lorsque l’on essaie d’avoir un bébé ?",,,,pending,
menst-002_emotionally_concerned,menst-002,menstrual,emotionally_concerned,I'm scared my irregular periods might mean I can't get pregnant — is that something I should worry about?,NEEDS_GROUNDING,J’ai peur que mes règles irrégulières signifient que je ne pourrai pas tomber enceinte — est-ce quelque chose qui devrait m’inquiéter ?,,,,pending,
menst-003_canonical,menst-003,menstrual,canonical,Does period pain affect fertility?,NEEDS_GROUNDING,Les douleurs menstruelles affectent-elles la fertilité ?,,,,pending,
menst-003_clinical,menst-003,menstrual,clinical,Patient asks whether dysmenorrhea (menstrual pain) has any impact on fertility.,NEEDS_GROUNDING,"La patiente demande si la dysménorrhée, c’est-à-dire les douleurs menstruelles, a un impact sur la fertilité.",,,,pending,
menst-003_layperson,menst-003,menstrual,layperson,Can bad period cramps affect whether I can have kids?,NEEDS_GROUNDING,De fortes crampes pendant les règles peuvent-elles réduire mes chances d’avoir des enfants ?,,,,pending,
menst-003_indirect_cultural,menst-003,menstrual,indirect_cultural,The pain I get every month during my cycle — could that be connected to having children later?,NEEDS_GROUNDING,La douleur que j’ai chaque mois pendant mon cycle pourrait-elle avoir un lien avec ma capacité à avoir des enfants plus tard ?,,,,pending,
menst-003_ambiguous,menst-003,menstrual,ambiguous,Does the pain I get sometimes mean something about my body down the line?,NEEDS_GROUNDING,La douleur que je ressens parfois peut-elle vouloir dire quelque chose pour mon corps à l’avenir ?,,,,pending,
menst-003_emotionally_concerned,menst-003,menstrual,emotionally_concerned,I get really bad period pain and I'm terrified it might be hurting my chances of having children — is that possible?,NEEDS_GROUNDING,J’ai de très fortes douleurs pendant mes règles et je suis terrifiée à l’idée qu’elles puissent nuire à mes chances d’avoir des enfants — est-ce possible ?,,,,pending,
menst-004_canonical,menst-004,menstrual,canonical,What causes irregular periods?,NEEDS_GROUNDING,Quelles sont les causes des règles irrégulières ?,,,,pending,
menst-004_clinical,menst-004,menstrual,clinical,Patient requests information on the etiology of menstrual cycle irregularity.,NEEDS_GROUNDING,La patiente demande des informations sur l’étiologie de l’irrégularité du cycle menstruel.,,,,pending,
menst-004_layperson,menst-004,menstrual,layperson,What makes periods become irregular in the first place?,NEEDS_GROUNDING,Qu’est-ce qui peut rendre les règles irrégulières au départ ?,,,,pending,
menst-004_indirect_cultural,menst-004,menstrual,indirect_cultural,Why does a woman's monthly cycle sometimes stop being predictable?,NEEDS_GROUNDING,Pourquoi le cycle mensuel d’une femme devient-il parfois imprévisible ?,,,,pending,
menst-004_ambiguous,menst-004,menstrual,ambiguous,Why would something like that happen with a cycle?,NEEDS_GROUNDING,Pourquoi ce genre de changement pourrait-il se produire au niveau du cycle ?,,,,pending,
