item_id,seed_id,category,style,source_text_en,gold_condition,ar_text,ar_text_slang_eg,ar_translator_id,ar_reviewer_id,ar_validation_status,ar_notes
menst-001_canonical,menst-001,menstrual,canonical,How long will I have irregular periods after a miscarriage?,NEEDS_GROUNDING,كم من الوقت ستظل دورتي غير منتظمة بعد الإجهاض؟,دورتي هتفضل مش منتظمة لحد إمتى بعد الإجهاض؟,ChatGPT 5.6-Sol,Mar,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-001_clinical,menst-001,menstrual,clinical,Patient reports irregular menstrual cycles following a recent miscarriage; requesting expected duration of irregularity.,NEEDS_GROUNDING,"تفيد المريضة بعدم انتظام دورتها الشهرية عقب إجهاض حديث، وتسأل عن المدة المتوقعة لاستمرار هذا الاضطراب.","المريضة بتقول إن دورتها مش منتظمة بعد إجهاض حديث، وبتسأل عن اللخبطة دي متوقع تستمر قد إيه.",ChatGPT 5.6-Sol,Apr,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-001_layperson,menst-001,menstrual,layperson,How long after a miscarriage will my periods stay irregular?,NEEDS_GROUNDING,"بعد الإجهاض، إلى متى ستظل دورتي غير منتظمة؟","بعد الإجهاض، لحد إمتى هتفضل دورتي مش منتظمة؟",ChatGPT 5.6-Sol,May,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-001_indirect_cultural,menst-001,menstrual,indirect_cultural,"After I lost the pregnancy, my monthly cycle hasn't gone back to normal — how long does that usually take?",NEEDS_GROUNDING,منذ أن فقدت الحمل لم تعد دورتي الشهرية إلى طبيعتها؛ كم يستغرق ذلك عادةً؟,من وقت ما فقدت الحمل دورتي مرجعتش لطبيعتها؛ الموضوع ده بياخد قد إيه عادة؟,ChatGPT 5.6-Sol,Jun,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-001_ambiguous,menst-001,menstrual,ambiguous,My cycle's been off since something happened a while back — when should it go back to normal?,NEEDS_GROUNDING,اضطربت دورتي منذ أن حدث أمر ما قبل فترة؛ متى يُفترض أن تعود إلى طبيعتها؟,دورتي اتلخبطت من وقت ما حصلت حاجة من فترة؛ إمتى المفروض ترجع لطبيعتها؟,ChatGPT 5.6-Sol,Jul,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-001_emotionally_concerned,menst-001,menstrual,emotionally_concerned,I'm really worried — it's been a while since my miscarriage and my periods are still all over the place. How much longer will this last?,NEEDS_GROUNDING,أنا قلقة جدًا؛ مضى وقت على الإجهاض وما زالت دورتي غير منتظمة تمامًا. إلى متى قد يستمر هذا؟,أنا قلقانة جدًا؛ مضى وقت على الإجهاض ولسه دورتي مش منتظمة تمامًا. لحد إمتى قد يستمر ده؟,ChatGPT 5.6-Sol,Aug,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-002_canonical,menst-002,menstrual,canonical,Do irregular periods influence the ability to get pregnant?,NEEDS_GROUNDING,هل تؤثر الدورة غير المنتظمة في القدرة على الحمل؟,هل تأثر الدورة غير المنتظمة في القدرة على الحمل؟,ChatGPT 5.6-Sol,Sep,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-002_clinical,menst-002,menstrual,clinical,Patient inquires whether menstrual cycle irregularity affects fertility/conception ability.,NEEDS_GROUNDING,تستفسر المريضة عما إذا كان عدم انتظام الدورة الشهرية يؤثر في الخصوبة أو القدرة على حدوث الحمل.,المريضة بتسأل هل لخبطة الدورة يأثر في الخصوبة أو القدرة على حدوث الحمل.,ChatGPT 5.6-Sol,Oct,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-002_layperson,menst-002,menstrual,layperson,Can having irregular periods make it harder to get pregnant?,NEEDS_GROUNDING,هل يمكن أن تجعل الدورة غير المنتظمة الحمل أكثر صعوبة؟,ممكن تجعل الدورة غير المنتظمة الحمل أكثر صعوبة؟,ChatGPT 5.6-Sol,Nov,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-002_indirect_cultural,menst-002,menstrual,indirect_cultural,My cycle isn't regular — could that affect my chances of starting a family?,NEEDS_GROUNDING,دورتي ليست منتظمة؛ فهل يمكن أن يؤثر ذلك في فرصي في تكوين أسرة؟,دورتي مش منتظمة؛ فهل ممكن يأثر ده في فرصي إني أكوّن أسرة؟,ChatGPT 5.6-Sol,Dec,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-002_ambiguous,menst-002,menstrual,ambiguous,"Does my cycle being off mess with anything else, like trying for a baby?",NEEDS_GROUNDING,"هل اضطراب دورتي يمكن أن يؤثر في أمور أخرى، مثل محاولة الإنجاب؟","هل لخبطة دورتي ممكن تأثر في حاجات تانية، مثل محاولة الحمل؟",ChatGPT 5.6-Sol,Jan,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-002_emotionally_concerned,menst-002,menstrual,emotionally_concerned,I'm scared my irregular periods might mean I can't get pregnant — is that something I should worry about?,NEEDS_GROUNDING,أخشى أن تعني دورتي غير المنتظمة أنني لن أستطيع الحمل؛ هل هذا أمر يدعو للقلق؟,خايفة إن تعني دورتي غير المنتظمة أنني لن أستطيع الحمل؛ هل ده أمر يدعو للقلق؟,ChatGPT 5.6-Sol,Feb,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-003_canonical,menst-003,menstrual,canonical,Does period pain affect fertility?,NEEDS_GROUNDING,هل يؤثر ألم الدورة الشهرية في الخصوبة؟,هل يأثر وجع الدورة في الخصوبة؟,ChatGPT 5.6-Sol,Mar,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-003_clinical,menst-003,menstrual,clinical,Patient asks whether dysmenorrhea (menstrual pain) has any impact on fertility.,NEEDS_GROUNDING,"تسأل المريضة عما إذا كان عسر الطمث، أي ألم الدورة الشهرية، يؤثر في الخصوبة.","المريضة بتسأل هل عسر الدورة، أي وجع الدورة، يأثر في الخصوبة.",ChatGPT 5.6-Sol,Apr,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
menst-003_layperson,menst-003,menstrual,layperson,Can bad period cramps affect whether I can have kids?,NEEDS_GROUNDING,هل يمكن أن تؤثر تقلصات الدورة الشديدة في قدرتي على الإنجاب؟,ممكن تأثر تقلصات الدورة الشديدة في قدرتي على الحمل؟,ChatGPT 5.6-Sol,May,reviewed,ترجمة واضحة — حافظت على المعنى والسياق
