qa_id,source_dataset,source_row_id,exclusion_reason
menst:training2K:0:menstrual,MENST_training2K,training2K:0,source_row_id_match
menst:training2K:54:menstrual,MENST_training2K,training2K:54,source_row_id_match
menst:training2K:55:menstrual,MENST_training2K,training2K:55,source_row_id_match
menst:training2K:56:menstrual,MENST_training2K,training2K:56,source_row_id_match
menst:training2K:118:menstrual,MENST_training2K,training2K:118,answer_hash_match
menst:training2K:211:menstrual,MENST_training2K,training2K:211,answer_hash_match
menst:training2K:218:menstrual,MENST_training2K,training2K:218,answer_hash_match
menst:training2K:220:pcos,MENST_training2K,training2K:220,answer_hash_match
menst:training2K:221:pcos,MENST_training2K,training2K:221,answer_hash_match
menst:training2K:226:pcos,MENST_training2K,training2K:226,answer_hash_match
menst:training2K:228:pcos,MENST_training2K,training2K:228,answer_hash_match
menst:training2K:230:pcos,MENST_training2K,training2K:230,answer_hash_match
menst:training2K:401:menstrual,MENST_training2K,training2K:401,answer_hash_match
menst:training2K:405:menstrual,MENST_training2K,training2K:405,answer_hash_match
menst:training2K:425:menstrual,MENST_training2K,training2K:425,answer_hash_match
menst:training2K:499:menstrual,MENST_training2K,training2K:499,answer_hash_match
menst:training2K:500:menstrual,MENST_training2K,training2K:500,answer_hash_match
menst:training2K:658:menstrual,MENST_training2K,training2K:658,answer_hash_match
menst:training2K:660:menstrual,MENST_training2K,training2K:660,answer_hash_match
menst:training2K:780:menstrual,MENST_training2K,training2K:780,answer_hash_match
menst:training2K:798:pcos,MENST_training2K,training2K:798,answer_hash_match
menst:training2K:871:fertility,MENST_training2K,training2K:871,answer_hash_match
menst:training2K:1266:menstrual,MENST_training2K,training2K:1266,answer_hash_match
menst:training2K:1293:fertility,MENST_training2K,training2K:1293,answer_hash_match
menst:train24K:14:menstrual,MENST_train24K,train24K:14,answer_hash_match
menst:train24K:15:menstrual,MENST_train24K,train24K:15,answer_hash_match
menst:train24K:16:menstrual,MENST_train24K,train24K:16,answer_hash_match
menst:train24K:17:menstrual,MENST_train24K,train24K:17,answer_hash_match
menst:train24K:18:menstrual,MENST_train24K,train24K:18,answer_hash_match
menst:train24K:19:menstrual,MENST_train24K,train24K:19,answer_hash_match
menst:train24K:20:menstrual,MENST_train24K,train24K:20,answer_hash_match
menst:train24K:21:menstrual,MENST_train24K,train24K:21,answer_hash_match
menst:train24K:22:menstrual,MENST_train24K,train24K:22,source_row_id_match
menst:train24K:23:menstrual,MENST_train24K,train24K:23,answer_hash_match
menst:train24K:24:menstrual,MENST_train24K,train24K:24,answer_hash_match
menst:train24K:25:menstrual,MENST_train24K,train24K:25,answer_hash_match
menst:train24K:601:fertility,MENST_train24K,train24K:601,answer_hash_match
menst:train24K:603:fertility,MENST_train24K,train24K:603,answer_hash_match
menst:train24K:604:fertility,MENST_train24K,train24K:604,answer_hash_match
menst:train24K:605:menstrual,MENST_train24K,train24K:605,answer_hash_match
menst:train24K:606:fertility,MENST_train24K,train24K:606,source_row_id_match
menst:train24K:608:fertility,MENST_train24K,train24K:608,answer_hash_match
menst:train24K:1223:menstrual,MENST_train24K,train24K:1223,answer_hash_match
menst:train24K:1224:menstrual,MENST_train24K,train24K:1224,answer_hash_match
menst:train24K:1225:menstrual,MENST_train24K,train24K:1225,answer_hash_match
menst:train24K:1226:menstrual,MENST_train24K,train24K:1226,answer_hash_match
menst:train24K:1228:menstrual,MENST_train24K,train24K:1228,answer_hash_match
menst:train24K:1229:menstrual,MENST_train24K,train24K:1229,answer_hash_match
menst:train24K:1230:menstrual,MENST_train24K,train24K:1230,source_row_id_match
menst:train24K:1231:menstrual,MENST_train24K,train24K:1231,answer_hash_match
menst:train24K:1232:menstrual,MENST_train24K,train24K:1232,answer_hash_match
menst:train24K:1233:menstrual,MENST_train24K,train24K:1233,answer_hash_match
menst:train24K:1314:menstrual,MENST_train24K,train24K:1314,answer_hash_match
menst:train24K:1315:menstrual,MENST_train24K,train24K:1315,answer_hash_match
menst:train24K:1316:menstrual,MENST_train24K,train24K:1316,answer_hash_match
menst:train24K:1317:menstrual,MENST_train24K,train24K:1317,answer_hash_match
menst:train24K:1318:menstrual,MENST_train24K,train24K:1318,answer_hash_match
menst:train24K:1319:menstrual,MENST_train24K,train24K:1319,answer_hash_match
menst:train24K:1320:menstrual,MENST_train24K,train24K:1320,source_row_id_match
menst:train24K:1321:menstrual,MENST_train24K,train24K:1321,answer_hash_match
menst:train24K:1322:menstrual,MENST_train24K,train24K:1322,answer_hash_match
menst:train24K:1323:menstrual,MENST_train24K,train24K:1323,answer_hash_match
menst:train24K:1324:menstrual,MENST_train24K,train24K:1324,answer_hash_match
menst:train24K:1325:menstrual,MENST_train24K,train24K:1325,answer_hash_match
menst:train24K:1340:pcos,MENST_train24K,train24K:1340,answer_hash_match
menst:train24K:1341:pcos,MENST_train24K,train24K:1341,answer_hash_match
menst:train24K:1342:pcos,MENST_train24K,train24K:1342,answer_hash_match
menst:train24K:1343:pcos,MENST_train24K,train24K:1343,answer_hash_match
menst:train24K:1344:pcos,MENST_train24K,train24K:1344,answer_hash_match
menst:train24K:1345:pcos,MENST_train24K,train24K:1345,answer_hash_match
menst:train24K:1346:pcos,MENST_train24K,train24K:1346,source_row_id_match
menst:train24K:1347:pcos,MENST_train24K,train24K:1347,answer_hash_match
menst:train24K:1348:pcos,MENST_train24K,train24K:1348,answer_hash_match
menst:train24K:1349:pcos,MENST_train24K,train24K:1349,answer_hash_match
menst:train24K:1350:pcos,MENST_train24K,train24K:1350,answer_hash_match
menst:train24K:1351:pcos,MENST_train24K,train24K:1351,answer_hash_match
menst:train24K:1353:pcos,MENST_train24K,train24K:1353,source_row_id_match
menst:train24K:1354:pcos,MENST_train24K,train24K:1354,answer_hash_match
menst:train24K:1355:pcos,MENST_train24K,train24K:1355,answer_hash_match
menst:train24K:1356:menstrual,MENST_train24K,train24K:1356,answer_hash_match
menst:train24K:1357:pcos,MENST_train24K,train24K:1357,answer_hash_match
menst:train24K:1358:menstrual,MENST_train24K,train24K:1358,answer_hash_match
menst:train24K:1359:pcos,MENST_train24K,train24K:1359,source_row_id_match
menst:train24K:1360:pcos,MENST_train24K,train24K:1360,answer_hash_match
menst:train24K:1361:menstrual,MENST_train24K,train24K:1361,answer_hash_match
menst:train24K:1362:pcos,MENST_train24K,train24K:1362,answer_hash_match
menst:train24K:1363:pcos,MENST_train24K,train24K:1363,answer_hash_match
menst:train24K:1364:pcos,MENST_train24K,train24K:1364,answer_hash_match
menst:train24K:1418:pcos,MENST_train24K,train24K:1418,answer_hash_match
menst:train24K:1419:pcos,MENST_train24K,train24K:1419,answer_hash_match
menst:train24K:1420:pcos,MENST_train24K,train24K:1420,answer_hash_match
menst:train24K:1421:pcos,MENST_train24K,train24K:1421,answer_hash_match
menst:train24K:1422:pcos,MENST_train24K,train24K:1422,answer_hash_match
menst:train24K:1423:pcos,MENST_train24K,train24K:1423,answer_hash_match
menst:train24K:1424:pcos,MENST_train24K,train24K:1424,answer_hash_match
menst:train24K:1425:pcos,MENST_train24K,train24K:1425,answer_hash_match
menst:train24K:1426:menstrual,MENST_train24K,train24K:1426,source_row_id_match
menst:train24K:1427:pcos,MENST_train24K,train24K:1427,answer_hash_match
menst:train24K:1428:pcos,MENST_train24K,train24K:1428,answer_hash_match
menst:train24K:1429:pcos,MENST_train24K,train24K:1429,answer_hash_match
menst:train24K:1444:pcos,MENST_train24K,train24K:1444,answer_hash_match
menst:train24K:1445:pcos,MENST_train24K,train24K:1445,answer_hash_match
menst:train24K:1446:pcos,MENST_train24K,train24K:1446,answer_hash_match
menst:train24K:1447:pcos,MENST_train24K,train24K:1447,answer_hash_match
menst:train24K:1448:pcos,MENST_train24K,train24K:1448,answer_hash_match
menst:train24K:1449:pcos,MENST_train24K,train24K:1449,answer_hash_match
menst:train24K:1450:pcos,MENST_train24K,train24K:1450,source_row_id_match
menst:train24K:1451:pcos,MENST_train24K,train24K:1451,answer_hash_match
menst:train24K:1452:pcos,MENST_train24K,train24K:1452,answer_hash_match
menst:train24K:1453:pcos,MENST_train24K,train24K:1453,answer_hash_match
menst:train24K:1454:pcos,MENST_train24K,train24K:1454,answer_hash_match
menst:train24K:1455:pcos,MENST_train24K,train24K:1455,answer_hash_match
menst:train24K:1470:pcos,MENST_train24K,train24K:1470,answer_hash_match
menst:train24K:1471:pcos,MENST_train24K,train24K:1471,answer_hash_match
menst:train24K:1472:pcos,MENST_train24K,train24K:1472,answer_hash_match
menst:train24K:1473:pcos,MENST_train24K,train24K:1473,answer_hash_match
menst:train24K:1474:pcos,MENST_train24K,train24K:1474,answer_hash_match
menst:train24K:1475:pcos,MENST_train24K,train24K:1475,answer_hash_match
menst:train24K:1476:pcos,MENST_train24K,train24K:1476,source_row_id_match
menst:train24K:1477:menstrual,MENST_train24K,train24K:1477,answer_hash_match
menst:train24K:1478:pcos,MENST_train24K,train24K:1478,answer_hash_match
menst:train24K:1479:pcos,MENST_train24K,train24K:1479,answer_hash_match
menst:train24K:1480:pcos,MENST_train24K,train24K:1480,answer_hash_match
menst:train24K:1481:pcos,MENST_train24K,train24K:1481,answer_hash_match
menst:train24K:3693:menstrual,MENST_train24K,train24K:3693,answer_hash_match
menst:train24K:3694:menstrual,MENST_train24K,train24K:3694,answer_hash_match
menst:train24K:3695:menstrual,MENST_train24K,train24K:3695,answer_hash_match
menst:train24K:3696:menstrual,MENST_train24K,train24K:3696,answer_hash_match
menst:train24K:3697:menstrual,MENST_train24K,train24K:3697,answer_hash_match
menst:train24K:3698:menstrual,MENST_train24K,train24K:3698,answer_hash_match
menst:train24K:3699:menstrual,MENST_train24K,train24K:3699,answer_hash_match
menst:train24K:3700:menstrual,MENST_train24K,train24K:3700,answer_hash_match
menst:train24K:3701:menstrual,MENST_train24K,train24K:3701,source_row_id_match
menst:train24K:3702:menstrual,MENST_train24K,train24K:3702,answer_hash_match
menst:train24K:3703:menstrual,MENST_train24K,train24K:3703,answer_hash_match
menst:train24K:3704:menstrual,MENST_train24K,train24K:3704,answer_hash_match
menst:train24K:3745:menstrual,MENST_train24K,train24K:3745,answer_hash_match
menst:train24K:3746:menstrual,MENST_train24K,train24K:3746,answer_hash_match
menst:train24K:3747:menstrual,MENST_train24K,train24K:3747,answer_hash_match
menst:train24K:3748:menstrual,MENST_train24K,train24K:3748,answer_hash_match
menst:train24K:3749:menstrual,MENST_train24K,train24K:3749,answer_hash_match
menst:train24K:3750:menstrual,MENST_train24K,train24K:3750,answer_hash_match
menst:train24K:3751:menstrual,MENST_train24K,train24K:3751,answer_hash_match
menst:train24K:3752:menstrual,MENST_train24K,train24K:3752,answer_hash_match
menst:train24K:3753:menstrual,MENST_train24K,train24K:3753,source_row_id_match
menst:train24K:3754:menstrual,MENST_train24K,train24K:3754,answer_hash_match
menst:train24K:3755:menstrual,MENST_train24K,train24K:3755,answer_hash_match
menst:train24K:3756:menstrual,MENST_train24K,train24K:3756,answer_hash_match
menst:train24K:4005:menstrual,MENST_train24K,train24K:4005,answer_hash_match
menst:train24K:4006:menstrual,MENST_train24K,train24K:4006,answer_hash_match
menst:train24K:4007:menstrual,MENST_train24K,train24K:4007,answer_hash_match
menst:train24K:4009:menstrual,MENST_train24K,train24K:4009,answer_hash_match
menst:train24K:4010:menstrual,MENST_train24K,train24K:4010,source_row_id_match
menst:train24K:4011:menstrual,MENST_train24K,train24K:4011,answer_hash_match
menst:train24K:4012:menstrual,MENST_train24K,train24K:4012,answer_hash_match
menst:train24K:4013:menstrual,MENST_train24K,train24K:4013,answer_hash_match
menst:train24K:4014:menstrual,MENST_train24K,train24K:4014,answer_hash_match
menst:train24K:4967:menstrual,MENST_train24K,train24K:4967,answer_hash_match
menst:train24K:4968:menstrual,MENST_train24K,train24K:4968,answer_hash_match
menst:train24K:4969:menstrual,MENST_train24K,train24K:4969,answer_hash_match
menst:train24K:4970:menstrual,MENST_train24K,train24K:4970,answer_hash_match
menst:train24K:4971:menstrual,MENST_train24K,train24K:4971,answer_hash_match
menst:train24K:4972:menstrual,MENST_train24K,train24K:4972,answer_hash_match
menst:train24K:4973:menstrual,MENST_train24K,train24K:4973,answer_hash_match
menst:train24K:4974:menstrual,MENST_train24K,train24K:4974,answer_hash_match
menst:train24K:4975:menstrual,MENST_train24K,train24K:4975,source_row_id_match
menst:train24K:4976:menstrual,MENST_train24K,train24K:4976,answer_hash_match
menst:train24K:4977:menstrual,MENST_train24K,train24K:4977,answer_hash_match
menst:train24K:4978:menstrual,MENST_train24K,train24K:4978,answer_hash_match
menst:train24K:4980:menstrual,MENST_train24K,train24K:4980,answer_hash_match
menst:train24K:4981:menstrual,MENST_train24K,train24K:4981,answer_hash_match
menst:train24K:4982:menstrual,MENST_train24K,train24K:4982,answer_hash_match
menst:train24K:4983:menstrual,MENST_train24K,train24K:4983,answer_hash_match
menst:train24K:4984:menstrual,MENST_train24K,train24K:4984,answer_hash_match
menst:train24K:4985:menstrual,MENST_train24K,train24K:4985,answer_hash_match
menst:train24K:4986:menstrual,MENST_train24K,train24K:4986,answer_hash_match
menst:train24K:4987:menstrual,MENST_train24K,train24K:4987,source_row_id_match
menst:train24K:4988:menstrual,MENST_train24K,train24K:4988,answer_hash_match
menst:train24K:4989:menstrual,MENST_train24K,train24K:4989,answer_hash_match
menst:train24K:4990:menstrual,MENST_train24K,train24K:4990,answer_hash_match
menst:train24K:4991:menstrual,MENST_train24K,train24K:4991,answer_hash_match
menst:train24K:7034:menstrual,MENST_train24K,train24K:7034,answer_hash_match
menst:train24K:7035:menstrual,MENST_train24K,train24K:7035,answer_hash_match
menst:train24K:7036:menstrual,MENST_train24K,train24K:7036,answer_hash_match
menst:train24K:7037:menstrual,MENST_train24K,train24K:7037,answer_hash_match
menst:train24K:7038:menstrual,MENST_train24K,train24K:7038,answer_hash_match
menst:train24K:7039:menstrual,MENST_train24K,train24K:7039,answer_hash_match
menst:train24K:7040:menstrual,MENST_train24K,train24K:7040,source_row_id_match
menst:train24K:7041:menstrual,MENST_train24K,train24K:7041,answer_hash_match
menst:train24K:7042:menstrual,MENST_train24K,train24K:7042,answer_hash_match
menst:train24K:7043:menstrual,MENST_train24K,train24K:7043,answer_hash_match
menst:train24K:7044:menstrual,MENST_train24K,train24K:7044,answer_hash_match
menst:train24K:7045:menstrual,MENST_train24K,train24K:7045,answer_hash_match
menst:train24K:7060:menstrual,MENST_train24K,train24K:7060,answer_hash_match
menst:train24K:7061:menstrual,MENST_train24K,train24K:7061,answer_hash_match
menst:train24K:7062:menstrual,MENST_train24K,train24K:7062,answer_hash_match
menst:train24K:7063:menstrual,MENST_train24K,train24K:7063,answer_hash_match
